SAMPLEID,LATITUDE,LONGITUDE,SAMPLETYPE,COLLARID,FROMDEPTH,TODEPTH,Cu_ppm,SPURIOUS,Dataset
19904481,-31.353025,121.50616,DRILLRC,931963,53.0,223651.0,442.0,1.0,Drillhole Original
19904479,-31.353025,121.50616,DRILLRC,931963,51.0,223649.0,110.0,0.0,Drillhole Original
19904495,-31.353025,121.50616,DRILLRC,931963,67.0,223665.0,77.0,0.0,Drillhole Original
19904494,-31.353025,121.50616,DRILLRC,931963,66.0,223664.0,48.0,0.0,Drillhole Original
19904493,-31.353025,121.50616,DRILLRC,931963,65.0,223663.0,77.0,0.0,Drillhole Original
19904484,-31.353025,121.50616,DRILLRC,931963,56.0,223654.0,68.0,0.0,Drillhole Original
19904490,-31.353025,121.50616,DRILLRC,931963,62.0,223660.0,226.0,0.0,Drillhole Original
19904489,-31.353025,121.50616,DRILLRC,931963,61.0,223659.0,61.0,0.0,Drillhole Original
19904499,-31.353012,121.50635,DRILLRC,931964,16.0,223669.0,76.0,0.0,Drillhole Original
19904506,-31.353012,121.50635,DRILLRC,931964,26.0,223676.0,24.0,0.0,Drillhole Original
19904508,-31.353012,121.50635,DRILLRC,931964,28.0,223678.0,42.0,0.0,Drillhole Original
19904509,-31.353012,121.50635,DRILLRC,931964,29.0,223679.0,38.0,0.0,Drillhole Original
19904514,-31.353012,121.50635,DRILLRC,931964,34.0,223684.0,134.0,0.0,Drillhole Original
19904515,-31.353012,121.50635,DRILLRC,931964,35.0,223685.0,124.0,0.0,Drillhole Original
19904516,-31.353012,121.50635,DRILLRC,931964,36.0,223686.0,93.0,0.0,Drillhole Original
19904518,-31.353012,121.50635,DRILLRC,931964,38.0,223688.0,80.0,0.0,Drillhole Original
19904519,-31.353012,121.50635,DRILLRC,931964,39.0,223689.0,49.0,0.0,Drillhole Original
19904496,-31.353012,121.50635,DRILLRC,931964,4.0,223666.0,73.0,0.0,Drillhole Original
19904500,-31.353012,121.50635,DRILLRC,931964,20.0,223670.0,115.0,0.0,Drillhole Original
19904505,-31.353012,121.50635,DRILLRC,931964,25.0,223675.0,52.0,0.0,Drillhole Original
19904520,-31.353012,121.50635,DRILLRC,931964,40.0,223690.0,85.0,0.0,Drillhole Original
19904507,-31.353012,121.50635,DRILLRC,931964,27.0,223677.0,32.0,0.0,Drillhole Original
19904510,-31.353012,121.50635,DRILLRC,931964,30.0,223680.0,28.0,0.0,Drillhole Original
19904511,-31.353012,121.50635,DRILLRC,931964,31.0,223681.0,65.0,0.0,Drillhole Original
19904512,-31.353012,121.50635,DRILLRC,931964,32.0,223682.0,91.0,1.0,Drillhole Original
19904513,-31.353012,121.50635,DRILLRC,931964,33.0,223683.0,24.0,0.0,Drillhole Original
19904517,-31.353012,121.50635,DRILLRC,931964,37.0,223687.0,27.0,1.0,Drillhole Original
19904501,-31.353012,121.50635,DRILLRC,931964,21.0,223671.0,117.0,0.0,Drillhole Original
19904502,-31.353012,121.50635,DRILLRC,931964,22.0,223672.0,75.0,0.0,Drillhole Original
19904503,-31.353012,121.50635,DRILLRC,931964,23.0,223673.0,106.0,0.0,Drillhole Original
19904504,-31.353012,121.50635,DRILLRC,931964,24.0,223674.0,95.0,0.0,Drillhole Original
19904497,-31.353012,121.50635,DRILLRC,931964,8.0,223667.0,111.0,0.0,Drillhole Original
19904498,-31.353012,121.50635,DRILLRC,931964,12.0,223668.0,101.0,0.0,Drillhole Original
19904557,-31.352741,121.506134,DRILLRC,931966,45.0,223827.0,124.0,0.0,Drillhole Original
19904556,-31.352741,121.506134,DRILLRC,931966,44.0,223826.0,97.0,0.0,Drillhole Original
19904555,-31.352741,121.506134,DRILLRC,931966,40.0,223825.0,120.0,0.0,Drillhole Original
19904554,-31.352741,121.506134,DRILLRC,931966,36.0,223824.0,140.0,0.0,Drillhole Original
19904553,-31.352741,121.506134,DRILLRC,931966,32.0,223823.0,127.0,0.0,Drillhole Original
19904552,-31.352741,121.506134,DRILLRC,931966,28.0,223822.0,178.0,0.0,Drillhole Original
19904551,-31.352741,121.506134,DRILLRC,931966,24.0,223821.0,99.0,0.0,Drillhole Original
19904550,-31.352741,121.506134,DRILLRC,931966,20.0,223820.0,112.0,0.0,Drillhole Original
19904546,-31.352741,121.506134,DRILLRC,931966,4.0,223816.0,83.0,0.0,Drillhole Original
19904558,-31.352741,121.506134,DRILLRC,931966,46.0,223828.0,92.0,0.0,Drillhole Original
19904576,-31.352741,121.506134,DRILLRC,931966,64.0,223846.0,61.0,0.0,Drillhole Original
19904575,-31.352741,121.506134,DRILLRC,931966,63.0,223845.0,64.0,0.0,Drillhole Original
19904574,-31.352741,121.506134,DRILLRC,931966,62.0,223844.0,107.0,0.0,Drillhole Original
19904562,-31.352741,121.506134,DRILLRC,931966,50.0,223832.0,75.0,0.0,Drillhole Original
19904572,-31.352741,121.506134,DRILLRC,931966,60.0,223842.0,73.0,0.0,Drillhole Original
19904549,-31.352741,121.506134,DRILLRC,931966,16.0,223819.0,117.0,0.0,Drillhole Original
19904563,-31.352741,121.506134,DRILLRC,931966,51.0,223833.0,56.0,0.0,Drillhole Original
19904564,-31.352741,121.506134,DRILLRC,931966,52.0,223834.0,44.0,0.0,Drillhole Original
19904565,-31.352741,121.506134,DRILLRC,931966,53.0,223835.0,44.0,0.0,Drillhole Original
19904566,-31.352741,121.506134,DRILLRC,931966,54.0,223836.0,46.0,0.0,Drillhole Original
19904548,-31.352741,121.506134,DRILLRC,931966,12.0,223818.0,116.0,0.0,Drillhole Original
19904567,-31.352741,121.506134,DRILLRC,931966,55.0,223837.0,30.0,0.0,Drillhole Original
19904568,-31.352741,121.506134,DRILLRC,931966,56.0,223838.0,17.0,1.0,Drillhole Original
19904569,-31.352741,121.506134,DRILLRC,931966,57.0,223839.0,50.0,0.0,Drillhole Original
19904547,-31.352741,121.506134,DRILLRC,931966,8.0,223817.0,98.0,0.0,Drillhole Original
19904573,-31.352741,121.506134,DRILLRC,931966,61.0,223843.0,53.0,0.0,Drillhole Original
