Dataset,g_lat,g_lon,Count
Drillhole Original,-599,2336,210
Drillhole Original,-644,2347,210
Drillhole Original,-577,2329,210
Drillhole Original,-669,2400,209
Drillhole Original,-643,2421,208
Drillhole Original,-652,2394,208
Drillhole Original,-596,2392,207
Drillhole Original,-573,2329,205
Drillhole Original,-631,2387,205
Drillhole Original,-606,2336,204
Drillhole Original,-581,2348,202
Drillhole Original,-635,2364,202
Drillhole Original,-634,2381,201
Drillhole Original,-620,2393,200
Drillhole Original,-635,2397,200
Drillhole Original,-641,2424,200
Drillhole Original,-605,2343,198
Drillhole Original,-674,2417,198
Drillhole Original,-564,2334,197
Drillhole Original,-631,2386,197
Drillhole Original,-665,2440,196
Drillhole Original,-586,2326,196
Drillhole Original,-616,2392,196
Drillhole Original,-643,2422,195
Drillhole Original,-596,2329,194
Drillhole Original,-559,2319,193
Drillhole Original,-614,2402,193
Drillhole Original,-662,2368,192
Drillhole Original,-579,2361,190
Drillhole Original,-616,2380,189
Drillhole Original,-660,2395,187
Drillhole Original,-597,2398,186
Drillhole Original,-624,2416,186
Drillhole Original,-645,2433,185
Drillhole Original,-620,2382,184
Drillhole Original,-622,2421,184
Drillhole Original,-617,2384,184
Drillhole Original,-612,2372,183
Drillhole Original,-647,2353,183
Drillhole Original,-556,2294,182
Drillhole Original,-644,2374,180
Drillhole Original,-603,2383,178
Drillhole Original,-656,2416,178
Drillhole Original,-674,2403,178
Drillhole Original,-586,2349,176
Drillhole Original,-594,2375,175
Drillhole Original,-602,2401,174
Drillhole Original,-631,2388,173
Drillhole Original,-575,2325,171
Drillhole Original,-546,2322,171
Drillhole Original,-681,2319,170
Drillhole Original,-615,2379,170
Drillhole Original,-675,2421,170
Drillhole Original,-650,2324,168
Drillhole Original,-586,2350,168
Drillhole Original,-690,2375,167
Drillhole Original,-568,2330,167
Drillhole Original,-572,2329,167
Drillhole Original,-617,2393,166
Drillhole Original,-645,2405,166
Drillhole Original,-649,2393,165
Drillhole Original,-604,2343,165
Drillhole Original,-604,2342,165
Drillhole Original,-647,2392,163
Drillhole Original,-579,2362,162
Drillhole Original,-645,2411,162
Drillhole Original,-656,2359,162
Drillhole Original,-696,2360,162
Drillhole Original,-615,2315,161
Drillhole Original,-600,2333,160
Drillhole Original,-562,2335,160
Drillhole Original,-696,2359,160
Drillhole Original,-588,2344,159
Drillhole Original,-609,2377,158
Drillhole Original,-620,2364,158
Drillhole Original,-615,2392,158
Drillhole Original,-632,2431,157
Drillhole Original,-641,2406,156
Drillhole Original,-642,2409,155
Drillhole Original,-606,2335,155
Drillhole Original,-639,2405,155
Drillhole Original,-571,2337,154
Drillhole Original,-691,2373,154
Drillhole Original,-674,2422,154
Drillhole Original,-614,2367,153
Drillhole Original,-617,2403,151
Drillhole Original,-675,2428,150
Drillhole Original,-633,2347,150
Drillhole Original,-591,2344,150
